ds,y,yhat
2016-03-05 05:00:00,71.0,4.4570274
2016-03-05 06:00:00,68.0,5.6962852
2016-03-05 07:00:00,66.0,6.77734
2016-03-05 08:00:00,59.0,6.8564415
2016-03-05 09:00:00,57.0,6.0390587
2016-03-05 10:00:00,51.0,5.643551
2016-03-05 11:00:00,60.0,7.041012
2016-03-05 12:00:00,52.0,5.538082
2016-03-05 13:00:00,55.0,4.536129
2016-03-05 14:00:00,64.0,5.248043
2016-03-05 15:00:00,58.0,3.0859337
2016-03-05 16:00:00,57.0,1.6884727
2016-03-05 17:00:00,63.0,1.1874962
2016-03-05 18:00:00,60.0,2.0312462
2016-03-05 19:00:00,57.0,2.0839806
2016-03-05 20:00:00,64.0,2.6376915
2016-03-05 21:00:00,71.0,2.3740196
2016-03-05 22:00:00,63.0,4.140621
2016-03-05 23:00:00,44.0,5.0634727
2016-03-06 00:00:00,48.0,42.31006
2016-03-06 01:00:00,49.0,35.97461
2016-03-06 02:00:00,41.0,49.74414
2016-03-06 03:00:00,41.0,54.46826
2016-03-06 04:00:00,65.0,49.268066
2016-03-06 05:00:00,46.0,48.35254
2016-03-06 06:00:00,37.0,50.476562
2016-03-06 07:00:00,18.0,49.304688
2016-03-06 08:00:00,21.0,58.276855
2016-03-06 09:00:00,20.0,59.0459
2016-03-06 10:00:00,23.0,58.78955
2016-03-06 11:00:00,37.0,56.995117
2016-03-06 12:00:00,52.0,52.563965
2016-03-06 13:00:00,64.0,57.324707
2016-03-06 14:00:00,102.0,55.12744
2016-03-06 15:00:00,118.0,45.276367
2016-03-06 16:00:00,123.0,41.907227
2016-03-06 17:00:00,124.0,52.71045
2016-03-06 18:00:00,142.0,49.194824
2016-03-06 19:00:00,134.0,63.550293
2016-03-06 20:00:00,121.0,63.879883
2016-03-06 21:00:00,121.0,85.010254
2016-03-06 22:00:00,128.0,95.63037
2016-03-06 23:00:00,131.0,97.946655
2016-03-07 00:00:00,137.0,106.16809
2016-03-07 01:00:00,133.0,116.870605
2016-03-07 02:00:00,151.0,120.802795
2016-03-07 03:00:00,134.0,102.40527
2016-03-07 04:00:00,126.0,110.52829
2016-03-07 05:00:00,74.0,66.40674
2016-03-07 06:00:00,44.0,52.600586
2016-03-07 07:00:00,23.0,38.867676
2016-03-07 08:00:00,22.0,30.261719
2016-03-07 09:00:00,23.0,23.743164
2016-03-07 10:00:00,24.0,22.351562
2016-03-07 11:00:00,16.0,24.329102
2016-03-07 12:00:00,20.0,20.886719
2016-03-07 13:00:00,27.0,19.495117
2016-03-07 14:00:00,34.0,22.351562
2016-03-07 15:00:00,46.0,22.791016
2016-03-07 16:00:00,29.0,23.743164
2016-03-07 17:00:00,29.0,19.641602
2016-03-07 18:00:00,28.0,17.59082
2016-03-07 19:00:00,21.0,18.176758
2016-03-07 20:00:00,16.0,19.641602
2016-03-07 21:00:00,15.0,20.300781
2016-03-07 22:00:00,14.0,14.880859
2016-03-07 23:00:00,14.0,10.55957
2016-03-08 00:00:00,14.0,10.6328125
2016-03-08 01:00:00,13.0,3.6748047
2016-03-08 02:00:00,16.0,3.6748047
2016-03-08 03:00:00,15.0,11.87793
2016-03-08 04:00:00,11.0,11.8046875
2016-03-08 05:00:00,11.0,9.4609375
2016-03-08 06:00:00,10.0,9.827148
2016-03-08 07:00:00,11.0,9.094727
2016-03-08 08:00:00,9.0,11.438477
2016-03-08 09:00:00,7.0,2.9423828
2016-03-08 10:00:00,10.0,9.167969
2016-03-08 11:00:00,10.0,14.734375
2016-03-08 12:00:00,10.0,15.686523
2016-03-08 13:00:00,10.0,15.393555
2016-03-08 14:00:00,15.0,15.393555
2016-03-08 15:00:00,20.0,13.928711
2016-03-08 16:00:00,26.0,21.179688
2016-03-08 17:00:00,32.0,16.711914
2016-03-08 18:00:00,25.0,17.371094
2016-03-08 19:00:00,16.0,19.93457
2016-03-08 20:00:00,19.0,21.399414
2016-03-08 21:00:00,20.0,21.545898
2016-03-08 22:00:00,18.0,17.078125
2016-03-08 23:00:00,15.0,17.517578
2016-03-09 00:00:00,35.0,13.265625
2016-03-09 01:00:00,16.0,12.6640625
2016-03-09 02:00:00,7.0,12.234375
2016-03-09 03:00:00,8.0,8.1953125
2016-03-09 04:00:00,7.0,8.28125
2016-03-09 05:00:00,6.0,8.0234375
2016-03-09 06:00:00,8.0,7.765625
2016-03-09 07:00:00,12.0,7.3359375
2016-03-09 08:00:00,13.0,4.5859375
2016-03-09 09:00:00,11.0,4.9296875
2016-03-09 10:00:00,12.0,6.90625
2016-03-09 11:00:00,21.0,6.5625
2016-03-09 12:00:00,78.0,6.9921875
2016-03-09 13:00:00,23.0,7.421875
2016-03-09 14:00:00,270.0,6.5625
2016-03-09 15:00:00,257.6666666666667,8.3671875
2016-03-09 16:00:00,245.33333333333331,10.34375
2016-03-09 17:00:00,233.0,11.890625
2016-03-09 18:00:00,220.66666666666663,13.78125
2016-03-09 19:00:00,208.33333333333331,15.7578125
2016-03-09 20:00:00,196.0,17.132812
2016-03-09 21:00:00,183.66666666666669,15.2421875
2016-03-09 22:00:00,171.33333333333331,18.25
2016-03-09 23:00:00,159.0,17.734375
2016-03-10 00:00:00,146.66666666666669,19.453125
2016-03-10 01:00:00,134.33333333333334,22.117188
2016-03-10 02:00:00,122.0,18.765625
2016-03-10 03:00:00,109.66666666666666,17.046875
2016-03-10 04:00:00,97.33333333333334,15.7578125
2016-03-10 05:00:00,85.0,14.125
2016-03-10 06:00:00,72.66666666666666,13.0078125
2016-03-10 07:00:00,60.33333333333334,8.7109375
2016-03-10 08:00:00,48.0,8.1953125
2016-03-10 09:00:00,35.66666666666666,7.421875
2016-03-10 10:00:00,23.333333333333343,7.25
2016-03-10 11:00:00,11.0,7.421875
2016-03-10 12:00:00,13.0,9.7421875
2016-03-10 13:00:00,12.0,8.625
2016-03-10 14:00:00,15.0,9.3125
2016-03-10 15:00:00,13.0,8.1953125
2016-03-10 16:00:00,22.0,12.921875
2016-03-10 17:00:00,20.0,11.203125
2016-03-10 18:00:00,17.0,13.09375
2016-03-10 19:00:00,15.0,13.0078125
2016-03-10 20:00:00,11.0,17.304688
2016-03-10 21:00:00,12.0,23.363281
2016-03-10 22:00:00,14.0,25.640625
2016-03-10 23:00:00,13.0,29.121094
2016-03-11 00:00:00,13.0,19.367188
2016-03-11 01:00:00,15.0,18.335938
2016-03-11 02:00:00,25.0,24.738281
2016-03-11 03:00:00,20.5,19.023438
2016-03-11 04:00:00,16.0,29.121094
2016-03-11 05:00:00,18.0,27.703125
2016-03-11 06:00:00,20.0,25.382812
2016-03-11 07:00:00,38.0,21.988281
2016-03-11 08:00:00,65.0,33.546875
2016-03-11 09:00:00,22.0,41.839844
2016-03-11 10:00:00,15.0,33.632812
2016-03-11 11:00:00,14.0,26.929688
2016-03-11 12:00:00,35.0,28.347656
2016-03-11 13:00:00,18.0,30.28125
2016-03-11 14:00:00,12.0,31.226562
2016-03-11 15:00:00,15.0,34.40625
2016-03-11 16:00:00,17.0,42.828125
2016-03-11 17:00:00,26.0,53.828125
2016-03-11 18:00:00,31.0,70.88672
2016-03-11 19:00:00,37.0,76.2793
2016-03-11 20:00:00,33.0,79.30859
2016-03-11 21:00:00,29.0,79.82422
2016-03-11 22:00:00,38.0,80.68359
2016-03-11 23:00:00,47.0,80.76953
2016-03-12 00:00:00,50.0,28.89877
2016-03-12 01:00:00,57.0,28.130493
2016-03-12 02:00:00,65.0,44.771484
2016-03-12 03:00:00,69.0,34.09253
2016-03-12 04:00:00,74.0,38.5459
2016-03-12 05:00:00,79.0,42.571777
2016-03-12 06:00:00,80.0,53.66992
2016-03-12 07:00:00,109.0,57.040043
2016-03-12 08:00:00,113.0,58.16895
2016-03-12 09:00:00,123.0,62.452152
2016-03-12 10:00:00,123.0,62.136723
2016-03-12 11:00:00,134.0,69.97266
2016-03-12 12:00:00,138.0,75.25195
2016-03-12 13:00:00,124.0,83.98438
2016-03-12 14:00:00,127.0,80.09962
2016-03-12 15:00:00,119.0,88.4004
2016-03-12 16:00:00,112.0,97.13282
2016-03-12 17:00:00,120.0,108.15626
2016-03-12 18:00:00,121.0,119.179695
2016-03-12 19:00:00,125.0,132.12892
2016-03-12 20:00:00,128.0,137.90627
2016-03-12 21:00:00,158.0,151.38673
2016-03-12 22:00:00,176.0,150.25783
2016-03-12 23:00:00,178.0,136.37892
2016-03-13 00:00:00,163.0,135.18361
2016-03-13 01:00:00,88.0,109.35157
2016-03-13 02:00:00,29.0,75.384766
2016-03-13 03:00:00,15.0,33.420166
2016-03-13 04:00:00,14.0,12.298826
2016-03-13 05:00:00,13.0,4.4296856
2016-03-13 06:00:00,12.0,3.1015587
2016-03-13 07:00:00,12.0,1.3915977
2016-03-13 08:00:00,15.0,2.1220665
2016-03-13 09:00:00,15.0,3.4999962
2016-03-13 10:00:00,12.0,4.6289043
2016-03-13 11:00:00,14.0,6.123045
2016-03-13 12:00:00,14.0,10.522459
2016-03-13 13:00:00,12.0,7.4345684
2016-03-13 14:00:00,19.0,13.734861
2016-03-13 15:00:00,12.0,18.109375
2016-03-13 16:00:00,14.0,17.586426
2016-03-13 17:00:00,14.0,22.189209
2016-03-13 18:00:00,14.0,21.44629
2016-03-13 19:00:00,14.0,25.961914
2016-03-13 20:00:00,25.0,30.681946
2016-03-13 21:00:00,28.0,35.748535
2016-03-13 22:00:00,42.0,34.354004
2016-03-13 23:00:00,56.0,29.603363
2016-03-14 00:00:00,62.0,29.494415
2016-03-14 01:00:00,74.0,24.447021
2016-03-14 02:00:00,75.0,21.645508
2016-03-14 03:00:00,81.0,18.673828
2016-03-14 04:00:00,98.0,34.39966
2016-03-14 05:00:00,103.0,40.015137
2016-03-14 06:00:00,97.0,43.43506
2016-03-14 07:00:00,88.0,44.032715
2016-03-14 08:00:00,88.0,43.67578
2016-03-14 09:00:00,99.33333333333331,43.692383
2016-03-14 10:00:00,110.66666666666666,46.481445
2016-03-14 11:00:00,122.0,48.85547
2016-03-14 12:00:00,127.0,55.064457
2016-03-14 13:00:00,106.0,53.719727
2016-03-14 14:00:00,86.0,58.40137
2016-03-14 15:00:00,63.0,60.74219
2016-03-14 16:00:00,52.0,57.571293
2016-03-14 17:00:00,41.0,54.58301
2016-03-14 18:00:00,40.0,60.07813
2016-03-14 19:00:00,50.0,78.70508
2016-03-14 20:00:00,56.0,80.298836
2016-03-14 21:00:00,51.0,82.92188
2016-03-14 22:00:00,63.0,84.41602
2016-03-14 23:00:00,80.0,80.19923
2016-03-15 00:00:00,95.0,50.00586
2016-03-15 01:00:00,112.0,61.27344
2016-03-15 02:00:00,125.0,61.080082
2016-03-15 03:00:00,133.0,58.443363
2016-03-15 04:00:00,138.0,53.64453
2016-03-15 05:00:00,136.0,83.52735
2016-03-15 06:00:00,124.0,80.609375
2016-03-15 07:00:00,108.0,94.77735
2016-03-15 08:00:00,129.0,99.242195
2016-03-15 09:00:00,138.0,99.98048
2016-03-15 10:00:00,132.0,112.179695
2016-03-15 11:00:00,138.0,111.68751
2016-03-15 12:00:00,144.0,131.23438
2016-03-15 13:00:00,149.66666666666666,148.03908
2016-03-15 14:00:00,155.33333333333334,136.78906
2016-03-15 15:00:00,161.0,140.37502
2016-03-15 16:00:00,173.0,139.03908
2016-03-15 17:00:00,178.0,146.35158
2016-03-15 18:00:00,175.0,162.10158
2016-03-15 19:00:00,181.0,176.23439
2016-03-15 20:00:00,185.0,194.23439
2016-03-15 21:00:00,190.0,207.03127
2016-03-15 22:00:00,193.0,226.29689
2016-03-15 23:00:00,196.0,237.82814
2016-03-16 00:00:00,221.0,228.68752
2016-03-16 01:00:00,252.0,210.40627
2016-03-16 02:00:00,247.0,229.39064
2016-03-16 03:00:00,244.0,241.62502
2016-03-16 04:00:00,230.0,259.34378
2016-03-16 05:00:00,220.0,273.82816
2016-03-16 06:00:00,228.0,276.07816
2016-03-16 07:00:00,218.0,269.6094
2016-03-16 08:00:00,218.0,271.2969
2016-03-16 09:00:00,221.5,271.57816
2016-03-16 10:00:00,225.0,272.00003
2016-03-16 11:00:00,236.0,271.8594
2016-03-16 12:00:00,244.0,263.00003
2016-03-16 13:00:00,269.0,226.57814
2016-03-16 14:00:00,298.0,216.03127
2016-03-16 15:00:00,287.0,190.29689
2016-03-16 16:00:00,256.0,155.77345
2016-03-16 17:00:00,290.0,142.41408
2016-03-16 18:00:00,270.0,143.32814
2016-03-16 19:00:00,274.0,164.35158
2016-03-16 20:00:00,307.0,182.56252
2016-03-16 21:00:00,333.0,192.68752
2016-03-16 22:00:00,323.0,196.34377
2016-03-16 23:00:00,305.0,199.43752
2016-03-17 00:00:00,301.0,187.48439
2016-03-17 01:00:00,272.0,192.26564
2016-03-17 02:00:00,251.0,203.37502
2016-03-17 03:00:00,246.0,211.53127
2016-03-17 04:00:00,265.0,224.89064
2016-03-17 05:00:00,278.0,227.98439
2016-03-17 06:00:00,262.0,227.00002
2016-03-17 07:00:00,257.0,230.51564
2016-03-17 08:00:00,264.0,243.45314
2016-03-17 09:00:00,270.0,247.6719
2016-03-17 10:00:00,281.0,248.51566
2016-03-17 11:00:00,304.0,254.14066
2016-03-17 12:00:00,320.0,250.62503
2016-03-17 13:00:00,325.0,240.50002
2016-03-17 14:00:00,341.0,222.92189
2016-03-17 15:00:00,320.0,224.46877
2016-03-17 16:00:00,297.0,213.64064
2016-03-17 17:00:00,284.0,219.68752
2016-03-17 18:00:00,295.0,234.73439
2016-03-17 19:00:00,313.0,241.20314
2016-03-17 20:00:00,312.0,232.48439
2016-03-17 21:00:00,314.0,243.45314
2016-03-17 22:00:00,326.0,249.50003
2016-03-17 23:00:00,355.0,264.68753
2016-03-18 00:00:00,404.0,366.31445
2016-03-18 01:00:00,406.0,377.43945
2016-03-18 02:00:00,412.0,363.70703
2016-03-18 03:00:00,386.0,355.01562
2016-03-18 04:00:00,380.0,333.8086
2016-03-18 05:00:00,374.0,320.42383
2016-03-18 06:00:00,367.0,319.38086
2016-03-18 07:00:00,366.0,334.5039
2016-03-18 08:00:00,356.0,330.85352
2016-03-18 09:00:00,339.0,328.9414
2016-03-18 10:00:00,326.0,308.25586
2016-03-18 11:00:00,266.0,219.86426
2016-03-18 12:00:00,148.0,117.015045
2016-03-18 13:00:00,147.0,81.996826
2016-03-18 14:00:00,92.0,57.248047
2016-03-18 15:00:00,82.0,47.774414
2016-03-18 16:00:00,57.0,46.557617
2016-03-18 17:00:00,56.0,24.655273
2016-03-18 18:00:00,45.0,24.829102
2016-03-18 19:00:00,41.0,20.657227
2016-03-18 20:00:00,27.0,6.6640625
2016-03-18 21:00:00,17.0,7.446289
2016-03-18 22:00:00,11.0,1.1884766
2016-03-18 23:00:00,9.0,3.7958984
2016-03-19 00:00:00,9.0,7.7939453
2016-03-19 01:00:00,20.0,23.09082
2016-03-19 02:00:00,186.0,27.175781
2016-03-19 03:00:00,201.0,28.740234
2016-03-19 04:00:00,185.0,33.563965
2016-03-19 05:00:00,118.0,32.434082
2016-03-19 06:00:00,76.0,33.129395
2016-03-19 07:00:00,72.0,38.30078
2016-03-19 08:00:00,67.0,46.992188
2016-03-19 09:00:00,52.0,50.946777
2016-03-19 10:00:00,48.0,68.45996
2016-03-19 11:00:00,57.0,70.76318
2016-03-19 12:00:00,61.0,75.36963
2016-03-19 13:00:00,47.0,75.9563
2016-03-19 14:00:00,42.0,83.51782
2016-03-19 15:00:00,39.0,80.95386
2016-03-19 16:00:00,43.0,83.930664
2016-03-19 17:00:00,46.0,80.64966
2016-03-19 18:00:00,49.0,92.1875
2016-03-19 19:00:00,54.0,77.67285
2016-03-19 20:00:00,65.0,79.02002
2016-03-19 21:00:00,65.0,78.04224
2016-03-19 22:00:00,61.0,75.67383
2016-03-19 23:00:00,36.0,72.97949
2016-03-20 00:00:00,40.0,68.546875
2016-03-20 01:00:00,39.0,67.63428
2016-03-20 02:00:00,43.0,71.11084
2016-03-20 03:00:00,50.0,70.41553
2016-03-20 04:00:00,54.0,72.11035
2016-03-20 05:00:00,66.0,70.893555
2016-03-20 06:00:00,79.0,73.63135
2016-03-20 07:00:00,79.0,79.976074
2016-03-20 08:00:00,80.0,94.51245
2016-03-20 09:00:00,86.0,97.55444
2016-03-20 10:00:00,87.0,104.474976
2016-03-20 11:00:00,93.0,98.64087
2016-03-20 12:00:00,76.0,95.42505
2016-03-20 13:00:00,61.0,69.89404
2016-03-20 14:00:00,46.0,74.45703
2016-03-20 15:00:00,32.0,79.9978
2016-03-20 16:00:00,35.0,66.72168
2016-03-20 17:00:00,40.0,64.33154
2016-03-20 18:00:00,50.0,62.20215
2016-03-20 19:00:00,57.0,71.328125
2016-03-20 20:00:00,70.0,70.19824
2016-03-20 21:00:00,82.0,66.67822
2016-03-20 22:00:00,91.0,68.28613
2016-03-20 23:00:00,102.0,81.17114
2016-03-21 00:00:00,123.0,77.069336
2016-03-21 01:00:00,126.0,75.2793
2016-03-21 02:00:00,122.0,65.833984
2016-03-21 03:00:00,141.0,72.91797
2016-03-21 04:00:00,124.0,78.5166
2016-03-21 05:00:00,133.0,79.16406
2016-03-21 06:00:00,146.0,83.04883
2016-03-21 07:00:00,146.0,85.86719
2016-03-21 08:00:00,129.0,90.79932
2016-03-21 09:00:00,104.0,98.94971
2016-03-21 10:00:00,110.0,100.75879
2016-03-21 11:00:00,117.0,100.3208
2016-03-21 12:00:00,151.0,89.40918
2016-03-21 13:00:00,144.0,82.17285
2016-03-21 14:00:00,114.0,83.353516
2016-03-21 15:00:00,113.0,82.02051
2016-03-21 16:00:00,113.0,84.305664
2016-03-21 17:00:00,129.0,87.42871
2016-03-21 18:00:00,127.0,88.609375
2016-03-21 19:00:00,127.0,107.728516
2016-03-21 20:00:00,135.0,118.111694
2016-03-21 21:00:00,138.0,123.26758
2016-03-21 22:00:00,148.0,136.51196
2016-03-21 23:00:00,158.0,144.71948
2016-03-22 00:00:00,179.0,152.59375
2016-03-22 01:00:00,169.0,154.63135
2016-03-22 02:00:00,186.0,150.80371
2016-03-22 03:00:00,202.0,150.78467
2016-03-22 04:00:00,207.0,140.83472
2016-03-22 05:00:00,186.0,125.26233
2016-03-22 06:00:00,175.0,125.13022
2016-03-22 07:00:00,172.0,119.9541
2016-03-22 08:00:00,136.0,103.12012
2016-03-22 09:00:00,122.0,84.72461
2016-03-22 10:00:00,107.0,82.05859
2016-03-22 11:00:00,104.0,77.450195
2016-03-22 12:00:00,97.0,86.66699
2016-03-22 13:00:00,97.0,89.27588
2016-03-22 14:00:00,94.0,99.768555
2016-03-22 15:00:00,93.0,95.8457
2016-03-22 16:00:00,87.0,89.94238
2016-03-22 17:00:00,65.0,85.10547
2016-03-22 18:00:00,52.0,88.24756
2016-03-22 19:00:00,50.0,80.30664
2016-03-22 20:00:00,51.0,81.75391
2016-03-22 21:00:00,58.0,80.725586
2016-03-22 22:00:00,71.0,74.13672
2016-03-22 23:00:00,80.0,75.96484
2016-03-23 00:00:00,89.0,71.737305
2016-03-23 01:00:00,97.0,59.20703
2016-03-23 02:00:00,67.0,57.60742
2016-03-23 03:00:00,44.0,50.828125
2016-03-23 04:00:00,25.0,45.953125
2016-03-23 05:00:00,15.0,38.03125
2016-03-23 06:00:00,8.0,32.31836
2016-03-23 07:00:00,6.0,31.023438
2016-03-23 08:00:00,10.0,28.433594
2016-03-23 09:00:00,11.0,25.996094
2016-03-23 10:00:00,8.0,29.5
2016-03-23 11:00:00,6.0,29.042969
2016-03-23 12:00:00,13.0,26.910156
2016-03-23 13:00:00,8.0,25.234375
2016-03-23 14:00:00,8.0,19.521484
2016-03-23 15:00:00,7.0,18.759766
2016-03-23 16:00:00,6.0,18.91211
2016-03-23 17:00:00,8.0,18.53125
2016-03-23 18:00:00,6.5,18.53125
2016-03-23 19:00:00,5.0,21.044922
2016-03-23 20:00:00,9.0,27.976562
2016-03-23 21:00:00,11.0,29.042969
2016-03-23 22:00:00,9.0,24.015625
2016-03-23 23:00:00,17.0,22.720703
2016-03-24 00:00:00,25.0,26.698242
2016-03-24 01:00:00,16.0,18.986328
2016-03-24 02:00:00,13.0,25.507812
2016-03-24 03:00:00,9.0,17.74414
2016-03-24 04:00:00,7.0,19.917969
2016-03-24 05:00:00,9.0,24.058594
2016-03-24 06:00:00,10.0,24.524414
2016-03-24 07:00:00,10.0,25.55957
2016-03-24 08:00:00,6.0,26.28418
2016-03-24 09:00:00,15.0,24.16211
2016-03-24 10:00:00,7.0,21.625977
2016-03-24 11:00:00,9.333333333333334,19.348633
2016-03-24 12:00:00,11.666666666666668,21.211914
2016-03-24 13:00:00,14.0,20.84961
2016-03-24 14:00:00,10.0,23.023438
2016-03-24 15:00:00,17.0,18.882812
2016-03-24 16:00:00,12.0,21.78125
2016-03-24 17:00:00,11.0,18.20996
2016-03-24 18:00:00,15.0,23.592773
2016-03-24 19:00:00,15.0,32.495117
2016-03-24 20:00:00,21.0,34.927734
2016-03-24 21:00:00,18.0,35.23828
2016-03-24 22:00:00,36.0,37.256836
2016-03-24 23:00:00,16.0,29.13086
2016-03-25 00:00:00,10.0,36.532227
2016-03-25 01:00:00,3.0,37.82617
2016-03-25 02:00:00,13.0,39.48242
2016-03-25 03:00:00,8.0,33.996094
2016-03-25 04:00:00,13.0,34.875977
2016-03-25 05:00:00,16.0,40.543457
2016-03-25 06:00:00,12.0,40.336426
2016-03-25 07:00:00,17.0,41.475098
2016-03-25 08:00:00,15.0,38.964844
2016-03-25 09:00:00,14.0,35.393555
2016-03-25 10:00:00,13.0,32.546875
2016-03-25 11:00:00,13.0,34.30664
2016-03-25 12:00:00,18.0,33.996094
2016-03-25 13:00:00,19.0,29.80371
2016-03-25 14:00:00,19.0,28.043945
2016-03-25 15:00:00,9.0,28.199219
2016-03-25 16:00:00,15.0,25.714844
2016-03-25 17:00:00,16.0,30.010742
2016-03-25 18:00:00,15.0,30.735352
2016-03-25 19:00:00,13.0,43.75244
2016-03-25 20:00:00,23.0,45.92627
2016-03-25 21:00:00,28.0,53.431152
2016-03-25 22:00:00,30.0,48.97998
2016-03-25 23:00:00,39.0,50.817383
2016-03-26 00:00:00,20.0,52.03369
2016-03-26 01:00:00,12.0,37.774414
2016-03-26 02:00:00,14.0,30.99414
2016-03-26 03:00:00,9.0,28.820312
2016-03-26 04:00:00,9.0,28.613281
2016-03-26 05:00:00,8.0,26.439453
2016-03-26 06:00:00,8.0,25.766602
2016-03-26 07:00:00,8.0,24.110352
2016-03-26 08:00:00,10.0,23.17871
2016-03-26 09:00:00,11.0,22.143555
2016-03-26 10:00:00,7.0,20.59082
2016-03-26 11:00:00,6.0,21.160156
2016-03-26 12:00:00,9.0,21.884766
2016-03-26 13:00:00,15.0,19.917969
2016-03-26 14:00:00,14.0,21.263672
2016-03-26 15:00:00,13.0,20.176758
2016-03-26 16:00:00,12.0,20.38379
2016-03-26 17:00:00,10.0,20.125
2016-03-26 18:00:00,15.0,20.176758
2016-03-26 19:00:00,13.0,16.605469
2016-03-26 20:00:00,12.0,22.816406
2016-03-26 21:00:00,7.0,23.748047
2016-03-26 22:00:00,10.0,24.472656
2016-03-26 23:00:00,6.0,23.799805
2016-03-27 00:00:00,7.0,7.873046
2016-03-27 01:00:00,5.0,10.703124
2016-03-27 02:00:00,7.0,10.853515
2016-03-27 03:00:00,7.0,10.484374
2016-03-27 04:00:00,8.0,10.915038
2016-03-27 05:00:00,8.0,11.18164
2016-03-27 06:00:00,7.0,9.629882
2016-03-27 07:00:00,20.0,10.4365225
2016-03-27 08:00:00,9.0,8.987304
2016-03-27 09:00:00,11.0,8.310546
2016-03-27 10:00:00,9.0,7.20996
2016-03-27 11:00:00,4.0,6.560546
2016-03-27 12:00:00,14.0,6.4921865
2016-03-27 13:00:00,4.0,5.917968
2016-03-27 14:00:00,7.0,6.1435537
2016-03-27 15:00:00,3.0,4.714843
2016-03-27 16:00:00,16.0,6.9160147
2016-03-27 17:00:00,12.0,8.043944
2016-03-27 18:00:00,15.0,9.43164
2016-03-27 19:00:00,13.0,11.11328
2016-03-27 20:00:00,21.0,12.81543
2016-03-27 21:00:00,31.0,15.953125
2016-03-27 22:00:00,37.0,17.328857
2016-03-27 23:00:00,39.0,17.973145
2016-03-28 00:00:00,45.0,18.570435
2016-03-28 01:00:00,59.0,21.027954
2016-03-28 02:00:00,61.0,30.582031
2016-03-28 03:00:00,63.0,31.060547
2016-03-28 04:00:00,64.0,30.595703
2016-03-28 05:00:00,61.0,29.597656
2016-03-28 06:00:00,58.0,29.980469
2016-03-28 07:00:00,64.0,30.137695
2016-03-28 08:00:00,70.0,32.277344
2016-03-28 09:00:00,88.0,37.404297
2016-03-28 10:00:00,101.0,40.166016
2016-03-28 11:00:00,108.0,46.578125
2016-03-28 12:00:00,109.0,46.154297
2016-03-28 13:00:00,108.0,53.851566
2016-03-28 14:00:00,116.0,55.355473
2016-03-28 15:00:00,129.0,54.152348
2016-03-28 16:00:00,117.0,57.652348
2016-03-28 17:00:00,103.0,55.082035
2016-03-28 18:00:00,87.0,55.218754
2016-03-28 19:00:00,75.0,52.04688
2016-03-28 20:00:00,64.0,27.512695
2016-03-28 21:00:00,53.0,17.781738
2016-03-28 22:00:00,23.0,11.660155
2016-03-28 23:00:00,16.0,8.597655
2016-03-29 00:00:00,15.0,7.3808584
2016-03-29 01:00:00,8.0,8.392577
2016-03-29 02:00:00,3.0,9.5615225
2016-03-29 03:00:00,3.0,11.441405
2016-03-29 04:00:00,3.0,12.302734
